"34.736602|-97.248862"
"30.103372|-97.332537"
"32.298035|-95.26013"
"29.809444|-90.818343"
"40.006018|-105.105275"
"34.933212|-81.984767"
"28.542786|-99.848551"
"33.589722|-84.340272"
"36.720647|-84.171753"
"33.596282|-102.361308"
"33.731681|-87.808643"
"39.540389|-95.129139"
"32.5517837|-85.9167142"
"38.394631|-85.37258"
"32.962318|-96.642557"
"38.449068|-107.863399"
"35.293849|-97.606446"
"32.338638|-89.486173"
"35.727126|-81.704866"
"29.551853|-95.159295"
"35.928486|-81.530125"
"31.051472|-85.899404"
"31.861931|-82.586586"
"30.386784|-88.518974"
"33.680812|-93.614678"
"29.45855|-96.938003"
"38.870255|-90.070338"
"32.339014|-89.142103"
"27.829339|-80.481738"
"31.442672|-83.542525"
"34.656273|-84.488294"
"31.061671|-98.158927"
"36.580158|-87.412899"
"33.781612|-89.837398"
"30.425341|-84.214277"
"32.86309|-83.610778"
"36.359431|-82.39888"
"29.625994|-82.377396"
"31.720395|-99.960701"
"30.177358|-81.625278"
"29.015677|-80.993665"
"30.301618|-81.758379"
"28.255445|-81.315648"
"27.15702|-80.218683"
"28.283389|-82.718394"
"30.250666|-81.75302"
"28.504964|-81.31284"
"30.392334|-88.995008"
"35.040483|-85.681551"
"31.32176|-86.444966"
"35.159693|-79.424516"
"39.521948|-107.319842"
"40.305619|-88.178841"
"35.927743|-80.587516"
"38.9837453|-94.4593203"
"28.631976|-96.627385"
"30.580162|-91.131267"
"37.647903|-97.332121"
"34.786482|-92.214686"
"29.998212|-95.484178"
"31.577418|-91.462452"
"32.507156|-86.211951"
"30.793455|-92.677779"
"28.857661|-82.392881"
"34.1196525|-87.9923238"
"32.853507|-91.395153"
"34.349543|-82.904918"
"32.773497|-92.39437"
"32.46287|-91.76335"
